Apartment,Type,Distance,Price,Capacity,Address,Phone,Longitude,Latitude
Brookside Village,Approved Women's Housing,1.6728088,950,146,487 S 3rd W,(208) 356-0788,-111.7924099,43.8161353
Brighton Apartments-Women,Approved Women's Housing,1.3726726,1225,20,242 W 6th S ,208-356-9693,-111.7945301,43.8133921
Davenport Apartments,Approved Women's Housing,1.028417,770,71,145 W 3rd S,356-3216,-111.7879773,43.819765
Creekside Cottages,Approved Women's Housing,1.3273104,845,20,276 steiner Ave,(503) 515-8377,-111.7943981,43.8197851
Somerset Apartments - Women,Approved Women's Housing,1.21173,850,180,480 S 1st W,(208) 356-7699,-111.7869059,43.8163422
Birch Plaza,Approved Women's Housing,0.8587748,850,341,236 S 1st W,(208) 359-8200,-111.7867163,43.8209717
Birch Wood I,Approved Women's Housing,1.0079108,850,65,253 S 2nd W,(208) 359-8200,-111.7867163,43.8209717
Buena Vista,Approved Women's Housing,NA,875,21,406 S 3rd E,208-359-9681,-111.7752093,43.8175075
Shadetree Apartment,Approved Women's Housing,NA,880,6,60 W 1st S,208-709-1608,-111.7855467,43.823957
Danbury Manor,Approved Women's Housing,0.422552,895,19,156 E 2nd S,208-356-8921,-111.7791712,43.8218191
Crestwood Cottage,Approved Women's Housing,0.4548648,895,10,221 S 1st E,208-356-5149,-111.7809272,43.8213116
Aspen Village - Women,Approved Women's Housing,0.472264,895,180,545 S 2nd E,(208) 356-7701,-111.778083,43.814649
Allen's Sunrise Village - Women,Approved Women's Housing,0.7407088,895,144,48 W 2nd S ,208-356-3995,-111.785197,43.82186
Park View Apts - Women,Approved Women's Housing,1.1384048,895,22,154 S 3rd W,356-3697,-111.7924522,43.8222826
Cottonwood-Women,Approved Women's Housing,1.0644582,895,84,42 S 1st W,(208) 356-9576,-111.7867042,43.8250778
Alexander Apartment,Approved Women's Housing,1.2048946,900,22,276 W 3rd S,208-995-8543,-111.7918951,43.8197811
Hill's College Ave Apts,Approved Women's Housing,0.6667622,900,11,136 College Ave,208-356-5786 or,-111.782747,43.822994
Bayside Manor,Approved Women's Housing,NA,925,8,248 1/2 Cornell Ave,7202247890,-111.7795297,43.8203851
Brooklyn Apartments,Approved Women's Housing,1.1700962,945,144,345 S 2nd W,208-356-9500,-111.7895166,43.8188718
Royal Crest,Approved Women's Housing,0.9898902,945,342,340 S 1st W,208-356-7778,-111.7869267,43.8191657
Normandy Apartments,Approved Women's Housing,0.9675198,945,40,114 W 3rd S,208-356-7234,-111.7871315,43.8197996
Northpoint - Women,Approved Women's Housing,0.8780382,945,548,141 S 1st W,208-681-9542,-111.78617,43.822758
Abby Lane Manor,Approved Women's Housing,1.5454218,950,42,437 S 4th W,(208) 359-3687,-111.7952062,43.8169418
Riviera Apartments,Approved Women's Housing,0.3983174,950,98,277 S 1st E,356-5270,-111.7809297,43.8200969
Sunset Hall,Approved Women's Housing,1.0209602,967,14,150 W 3rd S,356-4361,-111.788248,43.820059
Albion Apartment,Approved Women's Housing,0.9700054,975,4,231 W 2nd S,(208) 201-2905,-111.7906463,43.8218385
Greenbrier South,Approved Women's Housing,0.6636552,981,86,129 Princeton Ct,356-3001,-111.779371,43.823056
Hillcrest Townhouses,Approved Women's Housing,0.3405272,985,140,465 S 2nd E,356-7211,-111.7780659,43.8163212
"Pines North, The",Approved Women's Housing,0.7,990,144,140 W 2nd S,356-5605,-111.7878656,43.8218723
"Cedars, The",Approved Women's Housing,0.7,990,0,226 S 1st W,356-4376,-111.7867132,43.8211586
Condie Cottage,Approved Women's Housing,1.2005448,990,6,267 W 3rd S,(208) 557-1520,-111.791806,43.819536
American Avenue - Women,Approved Women's Housing,0.5542888,995,165,151 S 1st E,(208) 356-5097,-111.7807632,43.8228628
At The Grove,Approved Women's Housing,1.2570922,995,6,349 Harvard Ave,208-716-9971,-111.7766137,43.8185731
College Avenue Apartments,Approved Women's Housing,0.8221122,995,8,150 College Ave,208-313-8182,-111.7824172,43.8226754
Alldredge House ,Approved Women's Housing,NA,995,8,243 S 1st E ,208-650-4097,-111.780478,43.82073
Red Brick House,Approved Women's Housing,0.8774168,1025,5,128 W 3rd S,356-4361,-111.7875345,43.8197965
Carriage House,Approved Women's Housing,0.8774168,1045,234,246 S 1st W,208-356-4361,-111.7867195,43.8207848
Camden Apartments,Approved Women's Housing,1.5466646,1050,77,225 W 5th S,208-656-9611,-111.7917058,43.8156024
Snowview Apartments,Approved Women's Housing,0.6847828,1050,64,12 W 2nd S,(208) 359-5517,-111.784145,43.821957
Avonlea Apartments,Approved Women's Housing,1.0526516,1075,60,175 W 3rd S,(208) 359-0920,-111.788829,43.8197584
La Jolla - Women,Approved Women's Housing,0.9700054,1079,234,65 S 1st W,(208) 359-1985,-111.7866669,43.8246842
Webster House,Approved Women's Housing,0.8774168,1080,9,268 S 1st W,356-4361,-111.7868774,43.820268
Hemming House I,Approved Women's Housing,0.8960588,1090,9,133 W 1st S,208-356-6142,-111.787926,43.823583
Colonial House,Approved Women's Housing,1.6703232,1095,342,151 West 4th South,208-359-2848,-111.788803,43.8176902
Birch Wood II,Approved Women's Housing,1.0079108,1110,24,253 S 2nd W,(208) 359-8200,-111.7895151,43.820673
Heritage Women,Approved Women's Housing,1.7287348,1149,192,129 W 4th S,208-356-7952,-111.7881413,43.8177064
Kensington Manor - Women,Approved Women's Housing,0.1572142,1199,108,345 S 2nd E,208.356.4473,-111.7780591,43.8187924
Centre Square-Women,Approved Women's Housing,1.0768862,1199,546,650 S 1st W,208-496-9220,-111.787004,43.811831
Tuscany Place - Women,Approved Women's Housing,1.5827058,1230,213,440 S 2nd W,(208) 356-3480,-111.7895741,43.8170624
"Gates, The - Women",Approved Women's Housing,1.4839032,1235,324,350 W 7th S,208-356-6686,-111.791355,43.81355
Autumn Winds,Approved Women's Housing,1.5342366,1255,96,160 W 5th S,(208) 356-0821,-111.7884885,43.8156171
Nauvoo House II,Approved Women's Housing,1.5404506,1269,286,175 W 5th S,356-7756,-111.7888627,43.8155931
"Ivy, The - Women",Approved Women's Housing,1.2775984,1270,630,649 S 2nd W,(208) 356-6556,-111.789553,43.812377
"Willows, The",Approved Women's Housing,0.8245978,1295,360,120 W 2nd S,208-356-0222,-111.7872458,43.8218672
Mountain Lofts - Women,Approved Women's Housing,1.4565616,1320,598,538 S 2nd W,208-356-5638,-111.791299,43.815
Legacy Ridge,Approved Women's Housing,0.6077292,1349,288,667 S 2nd E,359-2211,-111.778051,43.812168
Windsor Manor-Women,Approved Women's Housing,0.4735068,1445,208,125 E 2nd S,208-356-6789,-111.78069,43.822092
